-99.000 -99.000 -1.600 -1.800 -1.760
-99.000 -99.000 -1.593 -1.801 -1.743
-99.000 -99.000 -1.585 -1.801 -1.733
-99.000 -99.000 -1.578 -1.800 -1.735
-99.000 -99.000 -1.570 -1.800 -1.737
-99.000 -1.870 -1.562 -1.799 -1.739
-99.000 -1.871 -1.556 -1.799 -1.741
-99.000 -1.871 -1.551 -1.798 -1.745
-99.000 -1.872 -1.546 -1.798 -1.750
-99.000 -1.873 -1.541 -1.796 -1.755
-99.000 -1.873 -1.536 -1.794 -1.759
-99.000 -1.873 -1.532 -1.792 -1.762
-99.000 -1.874 -1.527 -1.790 -1.760
-99.000 -1.874 -1.521 -1.788 -1.765
-99.000 -1.873 -1.515 -1.785 -1.770
-99.000 -1.873 -1.509 -1.780 -1.770
-99.000 -1.873 -1.503 -1.775 -1.768
-99.000 -1.873 -1.497 -1.778 -1.767
-99.000 -1.873 -1.491 -1.781 -1.751
-99.000 -1.873 -1.485 -1.784 -1.754
-99.000 -1.872 -1.479 -1.788 -1.756
-99.000 -1.871 -1.473 -1.788 -1.756
-99.000 -1.871 -1.467 -1.788 -1.756
-99.000 -1.870 -1.462 -1.787 -1.757
-99.000 -1.870 -1.456 -1.787 -1.758
-1.869 -1.870 -1.450 -1.789 -1.757
-1.865 -1.869 -1.444 -1.791 -1.756
-1.861 -1.869 -1.442 -1.794 -1.757
-1.858 -1.869 -1.439 -1.796 -1.750
-1.854 -1.869 -1.436 -1.799 -1.746
-1.851 -1.869 -1.433 -1.801 -1.742
-1.848 -1.869 -1.430 -1.803 -1.743
-1.846 -1.866 -1.429 -1.806 -1.743
-1.844 -1.866 -1.428 -1.809 -1.740
-1.841 -1.867 -1.428 -1.811 -1.734
-1.839 -1.868 -1.427 -1.811 -1.739
-1.837 -1.867 -1.426 -1.812 -1.744
-1.835 -1.854 -1.426 -1.813 -1.745
-1.833 -1.852 -1.425 -1.812 -1.737
-1.832 -1.850 -1.425 -1.814 -1.732
