     0.184    -0.735
     0.211    -0.676
     0.216    -0.666
     0.303    -0.519
     0.400    -0.398
     0.104    -0.983
     0.309    -0.510
     0.313    -0.504
     0.296    -0.529
     0.198    -0.703
     0.063    -1.201
     0.264    -0.578
     0.619    -0.208
     0.236    -0.627
     0.282    -0.550
     0.425    -0.372
     0.196    -0.708
     0.182    -0.740
     0.295    -0.530
     0.129    -0.889
     0.231    -0.636
     0.211    -0.676
     0.066    -1.180
     0.367    -0.435
     0.283    -0.548
     0.318    -0.498
     0.694    -0.159
     0.128    -0.893
     0.172    -0.764
     0.402    -0.396
     0.758    -0.120
     0.272    -0.565
     0.588    -0.231
     0.147    -0.833
     0.098    -1.009
     0.120    -0.921
